Date,Product_ID,Region,Supplier,Historical_Sales,Customer_Orders,Promotion,Seasonal_Factor,Inventory_Level,Production_Capacity,Production_Cost_Per_Unit,Selling_Price_Per_Unit,Available_Budget,Supplier_Lead_Time_Days,Supplier_Reliability,Delivery_Delay_Days,Machine_Utilization_Percent,Workforce_Availability_Percent,Market_Volatility,Predicted_Demand,Risk_Score,Risk_Level,Optimal_Production_Quantity,Expected_Revenue,Expected_Cost,Expected_Profit
2024-01-01,P004,West,Supplier_A,679.0,707,1,0.95,825.0,1071,410.15,634.8,271615.49,11,0.73,0.0,63.43,73.19,7.77,717,32.52,Low,662,420237.6,271519.3,148718.3
2024-01-02,P005,West,Supplier_A,526.0,614,1,0.95,241.0,1218,441.57,682.59,406692.46,7,0.75,8.0,58.97,81.29,6.24,594,30.84,Low,594,405458.46,262292.58,143165.88
2024-01-03,P003,West,Supplier_B,406.0,457,0,0.95,186.0,1023,523.71,706.51,350466.6,5,0.95,4.0,64.36,63.45,2.07,327,9.72,Low,327,231028.77,171253.17,59775.6
2024-01-04,P005,West,Supplier_B,813.0,803,0,0.95,289.0,733,496.43,786.06,826189.26,9,0.97,3.0,62.65,69.21,7.3,757,21.53,Low,713,560460.78,353954.59,206506.19
2024-01-05,P005,West,Supplier_A,667.0,757,0,0.95,1016.0,1387,622.5,879.0,428730.09,8,0.88,3.0,93.93,90.65,7.32,589,35.44,Medium,589,517731.0,366652.5,151078.5
2024-01-06,P002,North,Supplier_C,,844,1,0.95,829.0,979,607.04,992.39,339987.71,10,0.83,4.0,66.46,86.46,5.94,811,22.65,Low,560,555738.4,339942.4,215796.0
2024-01-07,P003,West,Supplier_A,573.0,618,1,0.95,286.0,1266,551.1,706.82,327848.51,10,0.61,5.0,64.24,66.66,1.81,586,26.03,Low,586,414196.52,322944.6,91251.92
2024-01-08,P003,North,Supplier_B,703.0,795,1,0.95,339.0,876,637.8,908.44,704993.39,10,0.96,0.0,88.39,77.52,4.17,778,14.02,Low,512,465121.28,326553.6,138567.68
2024-01-09,P003,West,Supplier_B,830.0,845,1,0.95,491.0,835,546.93,805.26,253954.15,4,0.94,5.0,71.76,65.68,1.46,833,12.91,Low,464,373640.64,253775.52,119865.12
2024-01-10,P005,East,Supplier_C,538.0,576,0,0.95,1178.0,1351,687.54,970.85,556347.86,10,0.81,8.0,71.86,94.23,5.3,426,23.42,Low,426,413582.1,292892.04,120690.06
